,Crate,Language,Files,Lines,Blank,Comment,Code
0,rustls,Assembly,108,141928,18405,1595,121928
1,ring,Assembly,11,13985,1068,292,12625
2,tokio-rustls,Assembly,71,107937,14005,837,93095
3,webpki-roots,Assembly,71,107699,13977,838,92884
4,hyper-rustls,Assembly,71,107699,13977,838,92884
5,data-encoding,Assembly,15,22739,3736,363,18640
6,aws-smithy-types,Assembly,15,22739,3736,363,18640
7,aws-smithy-http,Assembly,15,22739,3736,363,18640
8,aws-sigv4,Assembly,15,22739,3736,363,18640
9,aws-smithy-async,Assembly,15,22739,3736,363,18640
10,aws-types,Assembly,15,22739,3736,363,18640
11,aws-smithy-json,Assembly,15,22739,3736,363,18640
12,aws-smithy-xml,Assembly,15,22739,3736,363,18640
13,aws-config,Assembly,15,22739,3736,363,18640
14,aws-smithy-query,Assembly,15,22739,3736,363,18640
15,metrics,Assembly,71,107699,13977,838,92884
16,aws-http,Assembly,15,22739,3736,363,18640
17,aws-credential-types,Assembly,15,22739,3736,363,18640
18,aws-smithy-eventstream,Assembly,15,22739,3736,363,18640
19,aws-smithy-client,Assembly,15,22739,3736,363,18640
20,aws-smithy-http-tower,Assembly,15,22739,3736,363,18640
21,aws-smithy-checksums,Assembly,15,22739,3736,363,18640
22,metrics-macros,Assembly,71,107699,13977,838,92884
