,Crate,Language,Files,Lines,Blank,Comment,Code
0,cc,Assembly,8,66,8,0,58
1,ring,Assembly,4,4467,506,1200,2761
2,hermit-abi,Assembly,6,152,5,20,127
3,blake3,Assembly,12,28692,108,64,28520
4,psm,Assembly,23,1788,231,260,1297
5,secp256k1,Assembly,2,925,84,87,754
6,secp256k1-sys,Assembly,2,925,84,87,754
7,gcc,Assembly,8,66,8,0,58
8,rocksdb,Assembly,1,756,133,125,498
9,librocksdb-sys,Assembly,1,756,133,125,498
10,cloudabi,Assembly,6,3485,306,12,3167
11,cranelift-entity,Assembly,2,193,18,12,163
12,cranelift-frontend,Assembly,2,193,18,12,163
13,cranelift-codegen,Assembly,2,193,18,12,163
14,cranelift-codegen-meta,Assembly,2,193,18,12,163
15,cranelift-bforest,Assembly,2,193,18,12,163
16,cranelift-codegen-shared,Assembly,2,193,18,12,163
